node;timestamp;module;lc;face;prefix
mbo;1670213807.965575;[nfd.FIB];20;263;/konten/mdn/c;
mbo;1670213809.068145;[nfd.FIB];50;266;/konten/jkt/a;
mbo;1670213809.103702;[nfd.FIB];60;263;/konten/jkt/a;
mbo;1670213809.104101;[nfd.FIB];50;266;/konten/jkt/b;
mbo;1670213809.104471;[nfd.FIB];60;263;/konten/jkt/b;
mbo;1670213809.104802;[nfd.FIB];50;266;/konten/jkt/c;
mbo;1670213809.105127;[nfd.FIB];60;263;/konten/jkt/c;
mbo;1670213810.166594;[nfd.FIB];80;266;/konten/sby/a;
mbo;1670213810.169006;[nfd.FIB];90;263;/konten/sby/a;
mbo;1670213810.169971;[nfd.FIB];80;266;/konten/sby/b;
mbo;1670213810.170692;[nfd.FIB];90;263;/konten/sby/b;
mbo;1670213810.175570;[nfd.FIB];80;266;/konten/sby/c;
mbo;1670213810.181309;[nfd.FIB];90;263;/konten/sby/c;
mbo;1670213811.236031;[nfd.FIB];90;266;/konten/pal/a;
mbo;1670213811.237817;[nfd.FIB];100;263;/konten/pal/a;
mbo;1670213811.238327;[nfd.FIB];90;266;/konten/pal/b;
mbo;1670213811.238816;[nfd.FIB];100;263;/konten/pal/b;
mbo;1670213811.239280;[nfd.FIB];90;266;/konten/pal/c;
mbo;1670213811.239721;[nfd.FIB];100;263;/konten/pal/c;
sbg;1670213649.647070;[nfd.FIB];0;1;/localhost/nfd;
sbg;1670213649.769377;[nfd.FIB];0;258;/localhost/nfd/rib;
sbg;1670213682.243044;[nfd.FIB];0;267;/localhop/ndn/nlsr/sync/v=10;
sbg;1670213682.243856;[nfd.FIB];0;267;/localhop/ndn/nlsr/LSA;
sbg;1670213682.244486;[nfd.FIB];0;267;/ndn/sbg-site/%C1.Router/cs/sbg/nlsr/INFO;
sbg;1670213682.245971;[nfd.FIB];0;267;/ndn/sbg-site/%C1.Router/cs/sbg/nlsr;
sbg;1670213682.247874;[nfd.FIB];0;267;/localhost/nlsr;
sbg;1670213682.248758;[nfd.FIB];0;267;/ndn/sbg-site/%C1.Router/cs/sbg/nlsr/KEY;
